name,reference product
"ethanol production, via fermentation, from wheat, with carbon capture and storage","ethanol, from wheat grains"
"ethanol, from wheat grains, with carbon capture and storage, energy allocation, at fuelling station","ethanol, without water, in 99.7% solution state, vehicle grade"
"bioethanol, from non-residual cellulosic biomass, burned in passenger car",heat
"ethanol production, via fermentation, from wheat, with carbon capture and storage","ethanol, from wheat grains"
"ethanol production, via fermentation, from wheat, with carbon capture and storage","ethanol, from wheat grains"
"ethanol production, via fermentation, from wheat, with carbon capture and storage","ethanol, from wheat grains"
"ethanol production, via fermentation, from wheat, with carbon capture and storage","ethanol, from wheat grains"
"ethanol production, via fermentation, from wheat, with carbon capture and storage","ethanol, from wheat grains"
"ethanol production, via fermentation, from wheat, with carbon capture and storage","ethanol, from wheat grains"
"ethanol production, via fermentation, from wheat, with carbon capture and storage","ethanol, from wheat grains"
"ethanol production, via fermentation, from wheat, with carbon capture and storage","ethanol, from wheat grains"
"ethanol production, via fermentation, from wheat, with carbon capture and storage","ethanol, from wheat grains"
"ethanol production, via fermentation, from wheat, with carbon capture and storage","ethanol, from wheat grains"
"ethanol production, via fermentation, from wheat, with carbon capture and storage","ethanol, from wheat grains"
"ethanol production, via fermentation, from wheat, with carbon capture and storage","ethanol, from wheat grains"
"ethanol production, via fermentation, from wheat, with carbon capture and storage","ethanol, from wheat grains"
esterification of soybean oil,glycerine
esterification of soybean oil,glycerine
esterification of soybean oil,glycerine
esterification of soybean oil,glycerine
esterification of soybean oil,glycerine
esterification of soybean oil,glycerine
esterification of soybean oil,glycerine
esterification of soybean oil,glycerine
esterification of soybean oil,glycerine
esterification of soybean oil,glycerine
esterification of soybean oil,glycerine
esterification of soybean oil,glycerine
esterification of soybean oil,glycerine
esterification of soybean oil,fatty acid methyl ester
esterification of soybean oil,fatty acid methyl ester
esterification of soybean oil,fatty acid methyl ester
esterification of soybean oil,fatty acid methyl ester
esterification of soybean oil,fatty acid methyl ester
esterification of soybean oil,fatty acid methyl ester
esterification of soybean oil,fatty acid methyl ester
esterification of soybean oil,fatty acid methyl ester
esterification of soybean oil,fatty acid methyl ester
esterification of soybean oil,fatty acid methyl ester
esterification of soybean oil,fatty acid methyl ester
esterification of soybean oil,fatty acid methyl ester
esterification of soybean oil,fatty acid methyl ester
"gallium production, semiconductor-grade","gallium, semiconductor-grade"
"gallium production, semiconductor-grade","gallium, semiconductor-grade"
"gallium production, semiconductor-grade","gallium, semiconductor-grade"
"gallium production, semiconductor-grade","gallium, semiconductor-grade"
"gallium production, semiconductor-grade","gallium, semiconductor-grade"
sodium borate mine operation and beneficiation,sodium borates
sodium borate mine operation and beneficiation,sodium borates
sodium borate mine operation and beneficiation,sodium borates
sodium borate mine operation and beneficiation,sodium borates
sodium borate mine operation and beneficiation,sodium borates
sodium borate mine operation and beneficiation,sodium borates
sodium borate mine operation and beneficiation,sodium borates
sodium borate mine operation and beneficiation,sodium borates
sodium borate mine operation and beneficiation,sodium borates
"treatment of electric arc furnace slag, residual material landfill",electric arc furnace slag
"treatment of electric arc furnace slag, residual material landfill",electric arc furnace slag
"treatment of electric arc furnace slag, residual material landfill",electric arc furnace slag
"treatment of electric arc furnace slag, residual material landfill",electric arc furnace slag
"treatment of electric arc furnace slag, residual material landfill",electric arc furnace slag
"treatment of electric arc furnace slag, residual material landfill",electric arc furnace slag
"treatment of electric arc furnace slag, residual material landfill",electric arc furnace slag
"treatment of electric arc furnace slag, residual material landfill",electric arc furnace slag
"treatment of electric arc furnace slag, residual material landfill",electric arc furnace slag
"treatment of electric arc furnace slag, residual material landfill",electric arc furnace slag
"treatment of electric arc furnace slag, residual material landfill",electric arc furnace slag
"treatment of electric arc furnace slag, residual material landfill",electric arc furnace slag
"treatment of electric arc furnace slag, residual material landfill",electric arc furnace slag
"electric arc furnace slag to market for electric arc furnace slag, for recovery",electric arc furnace slag
"electric arc furnace slag to market for electric arc furnace slag, for recovery",electric arc furnace slag
"electric arc furnace slag to market for electric arc furnace slag, for recovery",electric arc furnace slag
